,Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
42,BDCQ.SF1AA2CT,2016.12,1053.23,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Forestry and Logging,Current prices,Trend,
43,BDCQ.SF1AA2CT,2017.03,1085.718,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Forestry and Logging,Current prices,Trend,
44,BDCQ.SF1AA2CT,2017.06,1173.507,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Forestry and Logging,Current prices,Trend,
45,BDCQ.SF1AA2CT,2017.09,1253.491,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Forestry and Logging,Current prices,Trend,
46,BDCQ.SF1AA2CT,2017.12,1328.908,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Forestry and Logging,Current prices,Trend,
47,BDCQ.SF1AA2CT,2018.03,1394.47,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Forestry and Logging,Current prices,Trend,
48,BDCQ.SF1AA2CT,2018.06,1437.868,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Forestry and Logging,Current prices,Trend,
49,BDCQ.SF1AA2CT,2018.09,1492.006,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Forestry and Logging,Current prices,Trend,
50,BDCQ.SF1AA2CT,2018.12,1538.667,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Forestry and Logging,Current prices,Trend,
51,BDCQ.SF1AA2CT,2019.03,1506.332,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Forestry and Logging,Current prices,Trend,
52,BDCQ.SF1AA2CT,2019.06,1431.285,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Forestry and Logging,Current prices,Trend,
53,BDCQ.SF1AA2CT,2019.09,1379.391,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Forestry and Logging,Current prices,Trend,
54,BDCQ.SF1AA2CT,2019.12,1369.307,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Forestry and Logging,Current prices,Trend,
55,BDCQ.SF1AA2CT,2020.03,,Y,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Forestry and Logging,Current prices,Trend,
56,BDCQ.SF1AA2CT,2020.06,,Y,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Forestry and Logging,Current prices,Trend,
57,BDCQ.SF1AA2CT,2020.09,,Y,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Forestry and Logging,Current prices,Trend,
58,BDCQ.SF1AA2CT,2020.12,,Y,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Forestry and Logging,Current prices,Trend,
59,BDCQ.SF1AA2CT,2021.03,,Y,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Forestry and Logging,Current prices,Trend,
60,BDCQ.SF1AA3CA,2016.06,1189.735,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Unadjusted,
61,BDCQ.SF1AA3CA,2016.09,1144.938,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Unadjusted,
62,BDCQ.SF1AA3CA,2016.12,1390.589,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Unadjusted,
63,BDCQ.SF1AA3CA,2017.03,1310.912,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Unadjusted,
64,BDCQ.SF1AA3CA,2017.06,1241.466,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Unadjusted,
65,BDCQ.SF1AA3CA,2017.09,1288.648,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Unadjusted,
66,BDCQ.SF1AA3CA,2017.12,1772.086,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Unadjusted,
67,BDCQ.SF1AA3CA,2018.03,1554.221,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Unadjusted,
68,BDCQ.SF1AA3CA,2018.06,1441.386,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Unadjusted,
69,BDCQ.SF1AA3CA,2018.09,1364.769,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Unadjusted,
70,BDCQ.SF1AA3CA,2018.12,1771.028,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Unadjusted,
71,BDCQ.SF1AA3CA,2019.03,1665.84,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Unadjusted,
72,BDCQ.SF1AA3CA,2019.06,1554.397,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Unadjusted,
73,BDCQ.SF1AA3CA,2019.09,1484.434,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Unadjusted,
74,BDCQ.SF1AA3CA,2019.12,1817.118,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Unadjusted,
75,BDCQ.SF1AA3CA,2020.03,1582.915,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Unadjusted,
76,BDCQ.SF1AA3CA,2020.06,1421.593,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Unadjusted,
77,BDCQ.SF1AA3CA,2020.09,1576.216,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Unadjusted,
78,BDCQ.SF1AA3CA,2020.12,2049.573,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Unadjusted,
79,BDCQ.SF1AA3CA,2021.03,1770.323,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Unadjusted,
80,BDCQ.SF1AA3CS,2016.06,1266.788,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Seasonally adjusted,
81,BDCQ.SF1AA3CS,2016.09,1290.764,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Seasonally adjusted,
82,BDCQ.SF1AA3CS,2016.12,1220.557,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Seasonally adjusted,
83,BDCQ.SF1AA3CS,2017.03,1265.298,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Seasonally adjusted,
84,BDCQ.SF1AA3CS,2017.06,1332.108,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Seasonally adjusted,
85,BDCQ.SF1AA3CS,2017.09,1441.728,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Seasonally adjusted,
86,BDCQ.SF1AA3CS,2017.12,1549.925,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Seasonally adjusted,
87,BDCQ.SF1AA3CS,2018.03,1508.984,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Seasonally adjusted,
88,BDCQ.SF1AA3CS,2018.06,1552.149,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Seasonally adjusted,
89,BDCQ.SF1AA3CS,2018.09,1519.214,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Seasonally adjusted,
90,BDCQ.SF1AA3CS,2018.12,1541.581,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Seasonally adjusted,
91,BDCQ.SF1AA3CS,2019.03,1628.868,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Seasonally adjusted,
92,BDCQ.SF1AA3CS,2019.06,1677.33,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Seasonally adjusted,
93,BDCQ.SF1AA3CS,2019.09,1644.148,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Seasonally adjusted,
94,BDCQ.SF1AA3CS,2019.12,1578.769,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Seasonally adjusted,
95,BDCQ.SF1AA3CS,2020.03,1554.757,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Seasonally adjusted,
96,BDCQ.SF1AA3CS,2020.06,1533.277,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Seasonally adjusted,
97,BDCQ.SF1AA3CS,2020.09,1744.062,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Seasonally adjusted,
98,BDCQ.SF1AA3CS,2020.12,1779.142,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Fishing, Aquaculture and Agriculture, Forestry and Fishing Support Services",Current prices,Seasonally adjusted,
